Key,Points,Total Time,User TimeCSR-210,5,39000,27000
CSR-209,2,4500,1800
CSR-160,5,95400,40200
CSR-154,2,null,0
CSR-103,5,107100,61200
CSR-101,3,117900,79500
CSR-100,3,62400,28800
CSR-97,3,144060,90960
CSK-2956,5,93900,72000
CSK-2944,2,22800,600
CSK-2942,3,9300,300
CSK-2937,3,7500,0
CSK-2933,1,null,0
CSK-2930,2,46800,46800
CSK-2925,3,0,0
CSK-2909,3,36300,24000
CSK-2908,3,33300,900
CSK-2907,5,48600,0
CSK-2882,5,10200,1800
CSK-2878,3,28800,18000
CSK-2862,5,101160,0
CSK-2852,5,28500,900
CSK-2847,1,13260,1860
CSK-2843,3,17700,2100
CSK-2838,5,122400,104400
CSK-2835,3,27000,1800
CSK-2832,5,null,0
CSK-2830,1,6300,600
CSK-2829,5,45060,3660
CSK-2828,3,25800,600
CSK-2827,3,31500,1800
CSK-2825,2,null,0
CSK-2824,5,18000,18000
CSK-2818,8,21600,21600
CSK-2814,2,21720,21720
CSK-2812,5,10800,7200
CSK-2809,8,25800,3600
CSK-2789,13,21600,21600
CSK-2785,13,null,0
CSK-2782,8,82800,68400
CSK-2778,21,86400,28800
CSK-2773,1,15000,1800
CSK-2772,3,38100,1800
CSK-2756,1,48000,2700
CSK-2746,8,27900,900
CSK-2745,8,123600,86400
CSK-2744,5,65100,55800
CSK-2743,3,27000,1800
CSK-2735,3,13200,0
CSK-2722,5,27900,3600
CSK-2715,8,88200,45000
CSK-2713,5,39600,0
CSK-2712,8,92100,70500
CSK-2707,2,12300,1500
CSK-2706,3,16200,14400
CSK-2702,3,11700,900
CSK-2697,5,3600,0
CSK-2691,8,58200,31200
CS3-386,5,69900,46800
CS3-380,3,7200,1800
CS3-327,3,17400,1800
CS3-296,5,33420,11400
CS3-295,5,66900,1800
CS3-270,3,30000,0
CS3-269,3,30600,600
CS3-117,5,79500,900
CS3-109,5,44400,0
CS3-108,5,23700,900
CS3-107,3,33000,600
CS3-105,3,31200,600
CS3-103,5,39900,1500
CS3-97,5,23700,1500
CS3-73,2,6300,300
CS3-46,2,11400,0
